timestamp,cell,variable,source,value,scenario,region,period
2018-01-05,CellId: 47a49b0000000000,temperature,DWD,6.9,cross-source-germany-meteo-january,germany-meteo,January
2018-01-06,CellId: 47a49b0000000000,temperature,DWD,5.9,cross-source-germany-meteo-january,germany-meteo,January
2018-01-07,CellId: 47a49b0000000000,temperature,DWD,1.4,cross-source-germany-meteo-january,germany-meteo,January
2018-01-08,CellId: 47a49b0000000000,temperature,DWD,-0.4,cross-source-germany-meteo-january,germany-meteo,January
2018-01-09,CellId: 47a49b0000000000,temperature,DWD,0.7,cross-source-germany-meteo-january,germany-meteo,January
2018-01-10,CellId: 47a49b0000000000,temperature,DWD,4.0,cross-source-germany-meteo-january,germany-meteo,January
2018-01-11,CellId: 47a49b0000000000,temperature,DWD,4.0,cross-source-germany-meteo-january,germany-meteo,January
2018-01-12,CellId: 47a49b0000000000,temperature,DWD,3.5,cross-source-germany-meteo-january,germany-meteo,January
2018-01-13,CellId: 47a49b0000000000,temperature,DWD,1.0,cross-source-germany-meteo-january,germany-meteo,January
2018-01-14,CellId: 47a49b0000000000,temperature,DWD,-0.6,cross-source-germany-meteo-january,germany-meteo,January
2018-01-15,CellId: 47a49b0000000000,temperature,DWD,1.2,cross-source-germany-meteo-january,germany-meteo,January
2018-01-16,CellId: 47a49b0000000000,temperature,DWD,3.0,cross-source-germany-meteo-january,germany-meteo,January
2018-01-17,CellId: 47a49b0000000000,temperature,DWD,0.6,cross-source-germany-meteo-january,germany-meteo,January
2018-01-18,CellId: 47a49b0000000000,temperature,DWD,3.1,cross-source-germany-meteo-january,germany-meteo,January
2018-01-19,CellId: 47a49b0000000000,temperature,DWD,1.1,cross-source-germany-meteo-january,germany-meteo,January
2018-01-20,CellId: 47a49b0000000000,temperature,DWD,0.9,cross-source-germany-meteo-january,germany-meteo,January
2018-01-21,CellId: 47a49b0000000000,temperature,DWD,0.1,cross-source-germany-meteo-january,germany-meteo,January
2018-01-22,CellId: 47a49b0000000000,temperature,DWD,1.4,cross-source-germany-meteo-january,germany-meteo,January
2018-01-23,CellId: 47a49b0000000000,temperature,DWD,4.8,cross-source-germany-meteo-january,germany-meteo,January
2018-01-24,CellId: 47a49b0000000000,temperature,DWD,8.4,cross-source-germany-meteo-january,germany-meteo,January
2018-01-25,CellId: 47a49b0000000000,temperature,DWD,8.5,cross-source-germany-meteo-january,germany-meteo,January
2018-01-26,CellId: 47a49b0000000000,temperature,DWD,5.7,cross-source-germany-meteo-january,germany-meteo,January
2018-01-27,CellId: 47a49b0000000000,temperature,DWD,2.6,cross-source-germany-meteo-january,germany-meteo,January
2018-01-28,CellId: 47a49b0000000000,temperature,DWD,5.6,cross-source-germany-meteo-january,germany-meteo,January
2018-01-29,CellId: 47a49b0000000000,temperature,DWD,7.9,cross-source-germany-meteo-january,germany-meteo,January
2018-01-30,CellId: 47a49b0000000000,temperature,DWD,3.4,cross-source-germany-meteo-january,germany-meteo,January
2018-01-31,CellId: 47a49b0000000000,temperature,DWD,5.7,cross-source-germany-meteo-january,germany-meteo,January
2018-01-01,CellId: 47a4af0000000000,temperature,DWD,6.4,cross-source-germany-meteo-january,germany-meteo,January
2018-01-02,CellId: 47a4af0000000000,temperature,DWD,3.8,cross-source-germany-meteo-january,germany-meteo,January
2018-01-03,CellId: 47a4af0000000000,temperature,DWD,5.9,cross-source-germany-meteo-january,germany-meteo,January
2018-01-04,CellId: 47a4af0000000000,temperature,DWD,6.3,cross-source-germany-meteo-january,germany-meteo,January
2018-01-05,CellId: 47a4af0000000000,temperature,DWD,6.9,cross-source-germany-meteo-january,germany-meteo,January
2018-01-06,CellId: 47a4af0000000000,temperature,DWD,4.8,cross-source-germany-meteo-january,germany-meteo,January
2018-01-07,CellId: 47a4af0000000000,temperature,DWD,2.2,cross-source-germany-meteo-january,germany-meteo,January
2018-01-08,CellId: 47a4af0000000000,temperature,DWD,0.5,cross-source-germany-meteo-january,germany-meteo,January
2018-01-09,CellId: 47a4af0000000000,temperature,DWD,1.2,cross-source-germany-meteo-january,germany-meteo,January
2018-01-10,CellId: 47a4af0000000000,temperature,DWD,2.6,cross-source-germany-meteo-january,germany-meteo,January
2018-01-11,CellId: 47a4af0000000000,temperature,DWD,3.8,cross-source-germany-meteo-january,germany-meteo,January
2018-01-12,CellId: 47a4af0000000000,temperature,DWD,4.3,cross-source-germany-meteo-january,germany-meteo,January
2018-01-13,CellId: 47a4af0000000000,temperature,DWD,2.2,cross-source-germany-meteo-january,germany-meteo,January
2018-01-14,CellId: 47a4af0000000000,temperature,DWD,-0.5,cross-source-germany-meteo-january,germany-meteo,January
2018-01-15,CellId: 47a4af0000000000,temperature,DWD,-0.2,cross-source-germany-meteo-january,germany-meteo,January
2018-01-16,CellId: 47a4af0000000000,temperature,DWD,3.3,cross-source-germany-meteo-january,germany-meteo,January
2018-01-17,CellId: 47a4af0000000000,temperature,DWD,1.0,cross-source-germany-meteo-january,germany-meteo,January
2018-01-18,CellId: 47a4af0000000000,temperature,DWD,3.2,cross-source-germany-meteo-january,germany-meteo,January
2018-01-19,CellId: 47a4af0000000000,temperature,DWD,0.7,cross-source-germany-meteo-january,germany-meteo,January
2018-01-20,CellId: 47a4af0000000000,temperature,DWD,1.2,cross-source-germany-meteo-january,germany-meteo,January
2018-01-21,CellId: 47a4af0000000000,temperature,DWD,0.4,cross-source-germany-meteo-january,germany-meteo,January
2018-01-22,CellId: 47a4af0000000000,temperature,DWD,1.4,cross-source-germany-meteo-january,germany-meteo,January
2018-01-23,CellId: 47a4af0000000000,temperature,DWD,4.9,cross-source-germany-meteo-january,germany-meteo,January
2018-01-24,CellId: 47a4af0000000000,temperature,DWD,8.8,cross-source-germany-meteo-january,germany-meteo,January
2018-01-25,CellId: 47a4af0000000000,temperature,DWD,8.4,cross-source-germany-meteo-january,germany-meteo,January
2018-01-26,CellId: 47a4af0000000000,temperature,DWD,5.6,cross-source-germany-meteo-january,germany-meteo,January
2018-01-27,CellId: 47a4af0000000000,temperature,DWD,3.2,cross-source-germany-meteo-january,germany-meteo,January
2018-01-28,CellId: 47a4af0000000000,temperature,DWD,6.2,cross-source-germany-meteo-january,germany-meteo,January
2018-01-29,CellId: 47a4af0000000000,temperature,DWD,8.4,cross-source-germany-meteo-january,germany-meteo,January
2018-01-30,CellId: 47a4af0000000000,temperature,DWD,2.7,cross-source-germany-meteo-january,germany-meteo,January
2018-01-31,CellId: 47a4af0000000000,temperature,DWD,5.2,cross-source-germany-meteo-january,germany-meteo,January
2018-01-01,CellId: 47a4b70000000000,temperature,DWD,7.1,cross-source-germany-meteo-january,germany-meteo,January
2018-01-02,CellId: 47a4b70000000000,temperature,DWD,4.5,cross-source-germany-meteo-january,germany-meteo,January
2018-01-03,CellId: 47a4b70000000000,temperature,DWD,6.6,cross-source-germany-meteo-january,germany-meteo,January
2018-01-04,CellId: 47a4b70000000000,temperature,DWD,6.8,cross-source-germany-meteo-january,germany-meteo,January
2018-01-05,CellId: 47a4b70000000000,temperature,DWD,8.0,cross-source-germany-meteo-january,germany-meteo,January
2018-01-06,CellId: 47a4b70000000000,temperature,DWD,5.0,cross-source-germany-meteo-january,germany-meteo,January
2018-01-07,CellId: 47a4b70000000000,temperature,DWD,3.0,cross-source-germany-meteo-january,germany-meteo,January
2018-01-08,CellId: 47a4b70000000000,temperature,DWD,1.3,cross-source-germany-meteo-january,germany-meteo,January
2018-01-09,CellId: 47a4b70000000000,temperature,DWD,2.1,cross-source-germany-meteo-january,germany-meteo,January
2018-01-10,CellId: 47a4b70000000000,temperature,DWD,2.6,cross-source-germany-meteo-january,germany-meteo,January
2018-01-11,CellId: 47a4b70000000000,temperature,DWD,3.7,cross-source-germany-meteo-january,germany-meteo,January
2018-01-12,CellId: 47a4b70000000000,temperature,DWD,4.6,cross-source-germany-meteo-january,germany-meteo,January
2018-01-13,CellId: 47a4b70000000000,temperature,DWD,2.6,cross-source-germany-meteo-january,germany-meteo,January
2018-01-14,CellId: 47a4b70000000000,temperature,DWD,0.7,cross-source-germany-meteo-january,germany-meteo,January
2018-01-15,CellId: 47a4b70000000000,temperature,DWD,1.0,cross-source-germany-meteo-january,germany-meteo,January
2018-01-16,CellId: 47a4b70000000000,temperature,DWD,4.1,cross-source-germany-meteo-january,germany-meteo,January
2018-01-17,CellId: 47a4b70000000000,temperature,DWD,1.9,cross-source-germany-meteo-january,germany-meteo,January
2018-01-18,CellId: 47a4b70000000000,temperature,DWD,3.9,cross-source-germany-meteo-january,germany-meteo,January
2018-01-19,CellId: 47a4b70000000000,temperature,DWD,1.3,cross-source-germany-meteo-january,germany-meteo,January
2018-01-20,CellId: 47a4b70000000000,temperature,DWD,1.9,cross-source-germany-meteo-january,germany-meteo,January
2018-01-21,CellId: 47a4b70000000000,temperature,DWD,1.2,cross-source-germany-meteo-january,germany-meteo,January
2018-01-22,CellId: 47a4b70000000000,temperature,DWD,2.2,cross-source-germany-meteo-january,germany-meteo,January
2018-01-23,CellId: 47a4b70000000000,temperature,DWD,5.9,cross-source-germany-meteo-january,germany-meteo,January
2018-01-24,CellId: 47a4b70000000000,temperature,DWD,9.5,cross-source-germany-meteo-january,germany-meteo,January
2018-01-25,CellId: 47a4b70000000000,temperature,DWD,9.1,cross-source-germany-meteo-january,germany-meteo,January
2018-01-26,CellId: 47a4b70000000000,temperature,DWD,6.2,cross-source-germany-meteo-january,germany-meteo,January
2018-01-27,CellId: 47a4b70000000000,temperature,DWD,4.2,cross-source-germany-meteo-january,germany-meteo,January
2018-01-28,CellId: 47a4b70000000000,temperature,DWD,7.2,cross-source-germany-meteo-january,germany-meteo,January
2018-01-29,CellId: 47a4b70000000000,temperature,DWD,9.5,cross-source-germany-meteo-january,germany-meteo,January
2018-01-30,CellId: 47a4b70000000000,temperature,DWD,3.8,cross-source-germany-meteo-january,germany-meteo,January
2018-01-31,CellId: 47a4b70000000000,temperature,DWD,6.1,cross-source-germany-meteo-january,germany-meteo,January
2018-01-01,CellId: 47a4e90000000000,temperature,DWD,5.5,cross-source-germany-meteo-january,germany-meteo,January
2018-01-02,CellId: 47a4e90000000000,temperature,DWD,2.6,cross-source-germany-meteo-january,germany-meteo,January
2018-01-03,CellId: 47a4e90000000000,temperature,DWD,5.0,cross-source-germany-meteo-january,germany-meteo,January
2018-01-04,CellId: 47a4e90000000000,temperature,DWD,5.5,cross-source-germany-meteo-january,germany-meteo,January
2018-01-05,CellId: 47a4e90000000000,temperature,DWD,6.4,cross-source-germany-meteo-january,germany-meteo,January
2018-01-06,CellId: 47a4e90000000000,temperature,DWD,4.4,cross-source-germany-meteo-january,germany-meteo,January
2018-01-07,CellId: 47a4e90000000000,temperature,DWD,0.7,cross-source-germany-meteo-january,germany-meteo,January
2018-01-08,CellId: 47a4e90000000000,temperature,DWD,-0.8,cross-source-germany-meteo-january,germany-meteo,January
2018-01-09,CellId: 47a4e90000000000,temperature,DWD,1.5,cross-source-germany-meteo-january,germany-meteo,January
2018-01-10,CellId: 47a4e90000000000,temperature,DWD,3.7,cross-source-germany-meteo-january,germany-meteo,January
2018-01-11,CellId: 47a4e90000000000,temperature,DWD,3.9,cross-source-germany-meteo-january,germany-meteo,January
2018-01-12,CellId: 47a4e90000000000,temperature,DWD,2.7,cross-source-germany-meteo-january,germany-meteo,January
2018-01-13,CellId: 47a4e90000000000,temperature,DWD,0.5,cross-source-germany-meteo-january,germany-meteo,January
2018-01-14,CellId: 47a4e90000000000,temperature,DWD,-0.7,cross-source-germany-meteo-january,germany-meteo,January
2018-01-15,CellId: 47a4e90000000000,temperature,DWD,0.2,cross-source-germany-meteo-january,germany-meteo,January
2018-01-16,CellId: 47a4e90000000000,temperature,DWD,2.5,cross-source-germany-meteo-january,germany-meteo,January
2018-01-17,CellId: 47a4e90000000000,temperature,DWD,0.2,cross-source-germany-meteo-january,germany-meteo,January
2018-01-18,CellId: 47a4e90000000000,temperature,DWD,2.0,cross-source-germany-meteo-january,germany-meteo,January
2018-01-19,CellId: 47a4e90000000000,temperature,DWD,0.4,cross-source-germany-meteo-january,germany-meteo,January
2018-01-20,CellId: 47a4e90000000000,temperature,DWD,0.3,cross-source-germany-meteo-january,germany-meteo,January
2018-01-21,CellId: 47a4e90000000000,temperature,DWD,-1.1,cross-source-germany-meteo-january,germany-meteo,January
2018-01-22,CellId: 47a4e90000000000,temperature,DWD,0.3,cross-source-germany-meteo-january,germany-meteo,January
2018-01-23,CellId: 47a4e90000000000,temperature,DWD,4.0,cross-source-germany-meteo-january,germany-meteo,January
2018-01-24,CellId: 47a4e90000000000,temperature,DWD,8.0,cross-source-germany-meteo-january,germany-meteo,January
2018-01-25,CellId: 47a4e90000000000,temperature,DWD,7.5,cross-source-germany-meteo-january,germany-meteo,January
2018-01-26,CellId: 47a4e90000000000,temperature,DWD,5.1,cross-source-germany-meteo-january,germany-meteo,January
2018-01-27,CellId: 47a4e90000000000,temperature,DWD,3.5,cross-source-germany-meteo-january,germany-meteo,January
2018-01-28,CellId: 47a4e90000000000,temperature,DWD,5.7,cross-source-germany-meteo-january,germany-meteo,January
2018-01-29,CellId: 47a4e90000000000,temperature,DWD,8.0,cross-source-germany-meteo-january,germany-meteo,January
2018-01-30,CellId: 47a4e90000000000,temperature,DWD,2.9,cross-source-germany-meteo-january,germany-meteo,January
2018-01-31,CellId: 47a4e90000000000,temperature,DWD,5.3,cross-source-germany-meteo-january,germany-meteo,January
2018-01-01,CellId: 47a3150000000000,precipitation,DWD,12.3,cross-source-germany-meteo-january,germany-meteo,January
2018-01-02,CellId: 47a3150000000000,precipitation,DWD,6.6,cross-source-germany-meteo-january,germany-meteo,January
2018-01-03,CellId: 47a3150000000000,precipitation,DWD,14.3,cross-source-germany-meteo-january,germany-meteo,January
2018-01-04,CellId: 47a3150000000000,precipitation,DWD,3.7,cross-source-germany-meteo-january,germany-meteo,January
2018-01-05,CellId: 47a3150000000000,precipitation,DWD,8.8,cross-source-germany-meteo-january,germany-meteo,January
2018-01-06,CellId: 47a3150000000000,precipitation,DWD,11.7,cross-source-germany-meteo-january,germany-meteo,January
2018-01-07,CellId: 47a3150000000000,precipitation,DWD,0.0,cross-source-germany-meteo-january,germany-meteo,January
2018-01-08,CellId: 47a3150000000000,precipitation,DWD,0.0,cross-source-germany-meteo-january,germany-meteo,January
2018-01-09,CellId: 47a3150000000000,precipitation,DWD,0.7,cross-source-germany-meteo-january,germany-meteo,January
2018-01-10,CellId: 47a3150000000000,precipitation,DWD,0.5,cross-source-germany-meteo-january,germany-meteo,January
2018-01-11,CellId: 47a3150000000000,precipitation,DWD,0.3,cross-source-germany-meteo-january,germany-meteo,January
2018-01-12,CellId: 47a3150000000000,precipitation,DWD,0.0,cross-source-germany-meteo-january,germany-meteo,January
2018-01-13,CellId: 47a3150000000000,precipitation,DWD,0.0,cross-source-germany-meteo-january,germany-meteo,January
2018-01-14,CellId: 47a3150000000000,precipitation,DWD,0.0,cross-source-germany-meteo-january,germany-meteo,January
2018-01-15,CellId: 47a3150000000000,precipitation,DWD,11.4,cross-source-germany-meteo-january,germany-meteo,January
2018-01-16,CellId: 47a3150000000000,precipitation,DWD,12.2,cross-source-germany-meteo-january,germany-meteo,January
2018-01-17,CellId: 47a3150000000000,precipitation,DWD,8.8,cross-source-germany-meteo-january,germany-meteo,January
2018-01-18,CellId: 47a3150000000000,precipitation,DWD,5.7,cross-source-germany-meteo-january,germany-meteo,January
2018-01-19,CellId: 47a3150000000000,precipitation,DWD,5.9,cross-source-germany-meteo-january,germany-meteo,January
2018-01-20,CellId: 47a3150000000000,precipitation,DWD,6.8,cross-source-germany-meteo-january,germany-meteo,January
2018-01-21,CellId: 47a3150000000000,precipitation,DWD,2.6,cross-source-germany-meteo-january,germany-meteo,January
2018-01-22,CellId: 47a3150000000000,precipitation,DWD,0.9,cross-source-germany-meteo-january,germany-meteo,January
2018-01-23,CellId: 47a3150000000000,precipitation,DWD,0.3,cross-source-germany-meteo-january,germany-meteo,January
2018-01-24,CellId: 47a3150000000000,precipitation,DWD,0.4,cross-source-germany-meteo-january,germany-meteo,January
2018-01-25,CellId: 47a3150000000000,precipitation,DWD,3.5,cross-source-germany-meteo-january,germany-meteo,January
